library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Oxidative Phosphorylation,192,0.009247753162539894,0.01715473218121886,0.5968591420286448,1.8903946841234982e-06,9.451973420617491e-05,1
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Myc Targets V2,56,0.011580812207544458,0.018639544627266528,0.60361599593479,0.0036639086752045854,0.09159771688011463,2
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Xenobiotic Metabolism,193,0.004217192278355432,0.005392025022316612,0.5484138596467717,0.010259233264525547,0.12097208016357386,3
MSigDB_Hallmark_2020,C-604 2 uM endpoint,PI3K/AKT/mTOR  Signaling,105,0.006701347909300573,0.004113474679649165,0.5632486772486772,0.01260501358741686,0.12097208016357386,4
MSigDB_Hallmark_2020,C-604 2 uM endpoint,TGF-beta Signaling,52,0.009568599837958037,0.013159438593412114,0.588173631883187,0.013933000081374856,0.12097208016357386,5
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Glycolysis,195,0.0037186306330143437,0.0039359507353285495,0.5453880824251195,0.014516649619628863,0.12097208016357386,6
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Interferon Alpha Response,94,0.005041584215433003,0.011036255742338085,0.5616624617485082,0.01945005255007162,0.13892894678622586,7
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Interferon Gamma Response,185,0.0024286718145815,0.004965410146378854,0.5417311906501096,0.02525736730734025,0.15785854567087657,8
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Pperoxisome,104,0.003848899980894126,0.005653488815284959,0.5488163085379623,0.042783893953574584,0.23768829974208103,9
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Estrogen Response Early,195,0.002653420821075393,0.0004448219683749609,0.5333218770255808,0.05450233397557618,0.257512229949684,10
MSigDB_Hallmark_2020,C-604 2 uM endpoint,p53 Pathway,192,0.0033021558552149715,0.0016471878772950834,0.5331765292227513,0.05665269058893048,0.257512229949684,11
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Unfolded Protein Response,108,0.004051857545151148,0.003086623223573221,0.5415440005719002,0.06800313034201372,0.27287397736441693,12
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Estrogen Response Late,194,0.0005430280611846346,0.0051821188640860175,0.5306154234949247,0.0709472341147484,0.27287397736441693,13
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Bile Acid Metabolism,111,0.001035935747211081,0.003936911075399124,0.5348886970508592,0.10219247243513513,0.3649731158397683,14
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Fatty Acid Metabolism,155,0.0012389646590311438,-0.0021185123708747844,0.5282531453977864,0.1125746279329205,0.37524875977640165,15
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Complement,195,-3.6702911899340864e-05,0.0011241770417525173,0.5226328404106182,0.13817181291455738,0.42641148451095073,16
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Hypoxia,196,0.00027622384423861974,-0.003045388088255822,0.5219460645684577,0.14497990473372324,0.42641148451095073,17
MSigDB_Hallmark_2020,C-604 2 uM endpoint,Androgen Response,97,0.0010607670520599004,0.0034558307114501132,0.5297250457373291,0.15595076477181558,0.4331965688105988,18
