library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
MSigDB_Hallmark_2020,MASTL dependency profile,E2F Targets,196,0.012153626886275762,0.01068708274018313,0.5588294584061282,0.0022792012623180707,0.057863216399867544,1
MSigDB_Hallmark_2020,MASTL dependency profile,UV Response Dn,143,0.011777072248964366,0.013558088432550089,0.5686477522243304,0.002314528655994702,0.057863216399867544,2
MSigDB_Hallmark_2020,MASTL dependency profile,Estrogen Response Early,195,0.00825352674014261,0.008107742284413062,0.5445391655398123,0.016088582294284212,0.21537605164966053,3
MSigDB_Hallmark_2020,MASTL dependency profile,DNA Repair,144,0.009053899914221487,0.013689690609621871,0.5476895271590465,0.02418878904822329,0.21537605164966053,4
MSigDB_Hallmark_2020,MASTL dependency profile,Androgen Response,97,0.009841115706072644,0.008767865902844632,0.5560905615896067,0.028182787119997603,0.21537605164966053,5
MSigDB_Hallmark_2020,MASTL dependency profile,Allograft Rejection,183,0.00700448036795422,0.007402206220010916,0.5404256330094326,0.029766186047968345,0.21537605164966053,6
MSigDB_Hallmark_2020,MASTL dependency profile,Glycolysis,195,0.007055683343509454,0.010080861099553024,0.5390576029884632,0.030152647230952474,0.21537605164966053,7
MSigDB_Hallmark_2020,MASTL dependency profile,heme Metabolism,188,0.005500047299722191,0.007700409997276266,0.5354853754663946,0.04685230718242856,0.2928269198901785,8
MSigDB_Hallmark_2020,MASTL dependency profile,KRAS Signaling Up,192,0.004590798173622599,0.008920067764470727,0.5295560364252684,0.07916613186073113,0.43981184367072845,9
MSigDB_Hallmark_2020,MASTL dependency profile,G2-M Checkpoint,191,0.008215173567766031,0.002597850585094478,0.5283086571002218,0.08888039257090596,0.4399723343487434,10
MSigDB_Hallmark_2020,MASTL dependency profile,Coagulation,133,0.0062725092975186,0.00870055178190026,0.5325995851910839,0.09727051201262082,0.4399723343487434,11
MSigDB_Hallmark_2020,MASTL dependency profile,Reactive Oxygen Species Pathway,49,0.008654735105439912,0.014520943699965419,0.5514427280676187,0.1064571917602915,0.4399723343487434,12
MSigDB_Hallmark_2020,MASTL dependency profile,Estrogen Response Late,194,0.006486124736265337,0.0034656273949971736,0.525085910652921,0.11439280693067327,0.4399723343487434,13
MSigDB_Hallmark_2020,MASTL dependency profile,Unfolded Protein Response,108,0.00689498910279874,0.004379578676298825,0.5279142619456143,0.1582405318393627,0.48141644446421367,14
MSigDB_Hallmark_2020,MASTL dependency profile,PI3K/AKT/mTOR  Signaling,105,0.007327458079960973,0.0016773292966845953,0.5281801497720557,0.1593337063101753,0.48141644446421367,15
MSigDB_Hallmark_2020,MASTL dependency profile,Fatty Acid Metabolism,155,0.004532626621133039,0.006436635030767831,0.5229832796928776,0.16189381347510812,0.48141644446421367,16
MSigDB_Hallmark_2020,MASTL dependency profile,Myc Targets V2,56,0.007868834326236203,0.0024295217546302407,0.5378459378853011,0.16368159111783265,0.48141644446421367,17
