gene,profile_c604,n_models_c604,pearson_r_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,n_models_mastl,pearson_r_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
MRE11,C-604 2 uM endpoint vs dependency strength,689,0.13779214940624251,0.00028603458166609334,0.2848386926308779,5,MASTL dependency strength vs dependency strength,1165,0.14025370966068126,1.5414417919770341e-06,0.0006431286545913597,21
TEN1,C-604 2 uM endpoint vs dependency strength,689,0.13443208239878168,0.0004026386649220783,0.2848386926308779,9,MASTL dependency strength vs dependency strength,1165,0.11724688961161854,6.0352344939934764e-05,0.005801474528624167,83
FLI1,C-604 2 uM endpoint vs dependency strength,689,0.1300525372056315,0.0006214640961040765,0.2966074600359473,16,MASTL dependency strength vs dependency strength,1165,0.12219294277741793,2.890782145684033e-05,0.003569599620284487,66
CDIN1,C-604 2 uM endpoint vs dependency strength,689,0.11782717417806239,0.0019482810694119001,0.4138293308547129,36,MASTL dependency strength vs dependency strength,1165,0.14181958970088818,1.1739333278125744e-06,0.0005770385420482151,18
