gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
MAPRE1,MASTL dependency strength vs dependency strength,1165,-0.012451575149312747,0.6711584868067784,0.8588033177407077,10717
PHLPP2,MASTL dependency strength vs dependency strength,1165,-0.012452302499086174,0.6711404031062832,0.8588033177407077,10718
GRK2,MASTL dependency strength vs dependency strength,1165,-0.012456027375159119,0.6710477965262945,0.8587894288059489,10719
KLK11,MASTL dependency strength vs dependency strength,1165,-0.012458248256281506,0.6709925841223588,0.8587826526737883,10720
ATP13A3,MASTL dependency strength vs dependency strength,1165,-0.01246364892927418,0.6708583276343862,0.8587735017760806,10721
MC5R,MASTL dependency strength vs dependency strength,1165,-0.012482499259265352,0.6703898054940716,0.8585860354142788,10722
RORB,MASTL dependency strength vs dependency strength,1165,-0.012488522362029608,0.670240129147986,0.8585221637898854,10723
PAX4,MASTL dependency strength vs dependency strength,1165,-0.012492424696874069,0.6701431616525566,0.8584618729017561,10724
RNASE11,MASTL dependency strength vs dependency strength,1165,-0.012493249023481255,0.670122679005713,0.8584618729017561,10725
IRGM,MASTL dependency strength vs dependency strength,1165,-0.012500800858864443,0.6699350444241766,0.858387019011956,10726
CEP44,MASTL dependency strength vs dependency strength,1165,-0.012507534254223206,0.66976776232987,0.8582365993686194,10727
PHTF2,MASTL dependency strength vs dependency strength,1165,-0.012509094018352235,0.6697290144344377,0.8582365993686194,10728
ATF3,MASTL dependency strength vs dependency strength,1165,-0.012519798012438667,0.6694631278894909,0.8579740503732719,10729
CPN2,MASTL dependency strength vs dependency strength,1165,-0.012521285706134384,0.6694261769449218,0.8579740503732719,10730
NEMF,MASTL dependency strength vs dependency strength,1165,-0.012527602518328561,0.6692692905283106,0.8578861180616102,10731
RGS10,MASTL dependency strength vs dependency strength,1165,-0.012545298528526557,0.6688298634001589,0.857545757187087,10732
GOLGA7,MASTL dependency strength vs dependency strength,1165,-0.012547620829441676,0.668772204454123,0.8575357386471442,10733
CD5L,MASTL dependency strength vs dependency strength,1165,-0.012549365113349635,0.6687288980110874,0.8575357386471442,10734
FA2H,MASTL dependency strength vs dependency strength,1165,-0.012559427329859594,0.6684790984729339,0.8574620380217405,10735
EPHA6,MASTL dependency strength vs dependency strength,1165,-0.012570961328649896,0.6681928062961621,0.8573920658452379,10736
ZNF662,MASTL dependency strength vs dependency strength,1165,-0.012573496075180973,0.6681298963182971,0.8573920658452379,10737
ADAM28,MASTL dependency strength vs dependency strength,1165,-0.012573836579560661,0.6681214455035362,0.8573920658452379,10738
RPS19BP1,MASTL dependency strength vs dependency strength,1165,-0.012581201777100846,0.6679386624853422,0.8573920658452379,10739
HNRNPR,MASTL dependency strength vs dependency strength,1165,-0.012587357541876577,0.6677859091965114,0.8573920658452379,10740
SGPP1,MASTL dependency strength vs dependency strength,1165,-0.012595684072480004,0.6675793109322841,0.8573920658452379,10741
MCUR1,MASTL dependency strength vs dependency strength,1165,-0.012597049831954027,0.6675454260461532,0.8573920658452379,10742
NEURL4,MASTL dependency strength vs dependency strength,1165,-0.012598764026047,0.6675028973547361,0.8573920658452379,10743
ALKBH1,MASTL dependency strength vs dependency strength,1165,-0.012601571894684332,0.6674332371982312,0.8573920658452379,10744
SLC10A1,MASTL dependency strength vs dependency strength,1165,-0.012602586989274222,0.6674080545136302,0.8573920658452379,10745
NFKBIA,MASTL dependency strength vs dependency strength,1165,-0.01261839391263811,0.6670159612461338,0.8573285466775111,10746
KIAA1958,MASTL dependency strength vs dependency strength,1165,-0.012639351927726005,0.6664962343458265,0.8569806588703736,10747
TSKS,MASTL dependency strength vs dependency strength,1165,-0.012649878829806097,0.6662352434761217,0.8567731446227537,10748
SERGEF,MASTL dependency strength vs dependency strength,1165,-0.012650832850843197,0.6662115926632688,0.8567731446227537,10749
EXOSC6,MASTL dependency strength vs dependency strength,1165,-0.012652830144876243,0.6661620794957938,0.8567731446227537,10750
FAM110B,MASTL dependency strength vs dependency strength,1165,-0.012667869722373857,0.6657892931736128,0.8565184314506815,10751
SLC45A1,MASTL dependency strength vs dependency strength,1165,-0.012678840527859272,0.6655174115999298,0.8563482621408779,10752
PPIL3,MASTL dependency strength vs dependency strength,1165,-0.012686550576165637,0.6653263652950483,0.856244373768403,10753
CIZ1,MASTL dependency strength vs dependency strength,1165,-0.012689437659055398,0.6652548322189774,0.8562170221703109,10754
IL36G,MASTL dependency strength vs dependency strength,1165,-0.01269785063294011,0.6650464018352975,0.8562170221703109,10755
FAM186B,MASTL dependency strength vs dependency strength,1165,-0.012709401473957417,0.6647602733014486,0.8560483965089768,10756
ADAMTS16,MASTL dependency strength vs dependency strength,1165,-0.012711389142715312,0.6647110412198481,0.8560483965089768,10757
ZNF782,MASTL dependency strength vs dependency strength,1165,-0.01271221244738475,0.6646906494107669,0.8560483965089768,10758
MINDY2,MASTL dependency strength vs dependency strength,1165,-0.012719216681695115,0.6645171768658672,0.8559764214323445,10759
C20orf141,MASTL dependency strength vs dependency strength,1165,-0.012744373372874311,0.663894273882275,0.8555533399154052,10760
CERS3,MASTL dependency strength vs dependency strength,1165,-0.012745074642639341,0.6638769131130484,0.8555533399154052,10761
DMP1,MASTL dependency strength vs dependency strength,1165,-0.01276425177228062,0.6634022302625502,0.8552395630900647,10762
RIF1,MASTL dependency strength vs dependency strength,1165,-0.012767083502731093,0.663332149141262,0.8552133013958537,10763
PLRG1,MASTL dependency strength vs dependency strength,1165,-0.012784529632355995,0.6629004482716357,0.8547848382600225,10764
LRAT,MASTL dependency strength vs dependency strength,1165,-0.012792266336314922,0.6627090409052944,0.8546661424088968,10765
ITGB3BP,MASTL dependency strength vs dependency strength,1165,-0.01279655430652914,0.6626029652690197,0.854593403889963,10766
SPOCK3,MASTL dependency strength vs dependency strength,1165,-0.012797708951819461,0.6625744028547417,0.854593403889963,10767
ADRB1,MASTL dependency strength vs dependency strength,1165,-0.012803537421203546,0.6624302317227483,0.854593403889963,10768
ELL3,MASTL dependency strength vs dependency strength,1165,-0.012805180374906034,0.6623895944086216,0.854593403889963,10769
TENT5A,MASTL dependency strength vs dependency strength,1165,-0.01281690689532943,0.6620995759389892,0.8543925220862864,10770
OTUD6B,MASTL dependency strength vs dependency strength,1165,-0.012838052665992439,0.661576729987705,0.8541022109191413,10771
FHIT,MASTL dependency strength vs dependency strength,1165,-0.012841953691068943,0.6614802920467823,0.8540598550641643,10772
ORM2,MASTL dependency strength vs dependency strength,1165,-0.012844821246704477,0.6614094062667084,0.8540598550641643,10773
LRRC4C,MASTL dependency strength vs dependency strength,1165,-0.01284826182517957,0.6613243594021374,0.8540598550641643,10774
NEUROD1,MASTL dependency strength vs dependency strength,1165,-0.01286594784422766,0.6608872516991882,0.8537887120397111,10775
CD47,MASTL dependency strength vs dependency strength,1165,-0.01286712622470907,0.6608581322780205,0.8537887120397111,10776
SLC6A7,MASTL dependency strength vs dependency strength,1165,-0.012885976945230955,0.6603923744737528,0.8534685859988819,10777
AEN,MASTL dependency strength vs dependency strength,1165,-0.012893579277347297,0.6602045755509034,0.8534348257590948,10778
PROSER1,MASTL dependency strength vs dependency strength,1165,-0.012906971374196129,0.6598738051992085,0.8532483235360527,10779
LRCH3,MASTL dependency strength vs dependency strength,1165,-0.012914359842950337,0.6596913463991206,0.8532047754811661,10780
TCTN1,MASTL dependency strength vs dependency strength,1165,-0.012924277852373402,0.659446452181691,0.8530162979950234,10781
PATZ1,MASTL dependency strength vs dependency strength,1165,-0.012938894715536643,0.659085600918178,0.8528060076862466,10782
ADGRG4,MASTL dependency strength vs dependency strength,1165,-0.012941045953475219,0.659032499293669,0.8528060076862466,10783
SFTA2,MASTL dependency strength vs dependency strength,1165,-0.012956665845606683,0.6586469859794875,0.8525590810917991,10784
CCN5,MASTL dependency strength vs dependency strength,1165,-0.012963247279721039,0.6584845772485117,0.8525408923395509,10785
CLCN7,MASTL dependency strength vs dependency strength,1165,-0.012973881349380288,0.6582221964447763,0.8523298711151537,10786
SLC38A7,MASTL dependency strength vs dependency strength,1165,-0.012983384558349945,0.6579877536112071,0.8523231745841954,10787
NAT14,MASTL dependency strength vs dependency strength,1165,-0.0129855351597711,0.6579347032352483,0.8523231745841954,10788
THADA,MASTL dependency strength vs dependency strength,1165,-0.012985547302683576,0.6579344037024932,0.8523231745841954,10789
IL6,MASTL dependency strength vs dependency strength,1165,-0.013005013617584762,0.6574542929945763,0.8521051421333953,10790
PHYHIP,MASTL dependency strength vs dependency strength,1165,-0.01300939042879503,0.6573463642057156,0.8520601853402262,10791
SORCS2,MASTL dependency strength vs dependency strength,1165,-0.013019201216939849,0.6571044636639801,0.8518442613876207,10792
HOXD8,MASTL dependency strength vs dependency strength,1165,-0.013024893462178692,0.6569641287742902,0.8517666427423732,10793
ADAM12,MASTL dependency strength vs dependency strength,1165,-0.013027076071952396,0.6569103225781978,0.8517666427423732,10794
ACTN1,MASTL dependency strength vs dependency strength,1165,-0.013037254459894102,0.6566594260897661,0.8517165837189639,10795
UBE2G1,MASTL dependency strength vs dependency strength,1165,-0.013050803367345595,0.6563255065346527,0.8514760587001106,10796
USP16,MASTL dependency strength vs dependency strength,1165,-0.013057463142719888,0.6561613981891573,0.8513273525223426,10797
IRS1,MASTL dependency strength vs dependency strength,1165,-0.013060239581644947,0.6560929868416355,0.8513273525223426,10798
TMEM140,MASTL dependency strength vs dependency strength,1165,-0.013063815968635583,0.6560048690497698,0.851316871624971,10799
FGF9,MASTL dependency strength vs dependency strength,1165,-0.013071256513493024,0.6558215584641837,0.8511431873731002,10800
RMND1,MASTL dependency strength vs dependency strength,1165,-0.013074148677663065,0.6557503106254414,0.8511149259901996,10801
EDDM3A,MASTL dependency strength vs dependency strength,1165,-0.013077085740364312,0.6556779599225959,0.8510852287994825,10802
ITGAL,MASTL dependency strength vs dependency strength,1165,-0.013079614794399798,0.6556156625657111,0.8510685775885078,10803
MFSD9,MASTL dependency strength vs dependency strength,1165,-0.01308281972633885,0.6555367199681603,0.851030314694554,10804
GIMAP5,MASTL dependency strength vs dependency strength,1165,-0.013092373674883553,0.6553014137503952,0.8508532469556075,10805
DHRS4,MASTL dependency strength vs dependency strength,1165,-0.013093189524398413,0.6552813216037744,0.8508532469556075,10806
UQCRFS1,MASTL dependency strength vs dependency strength,1165,-0.013114844979901017,0.6547480979865772,0.8505199545274141,10807
DSE,MASTL dependency strength vs dependency strength,1165,-0.013130164854097761,0.6543709819537241,0.8501584634897954,10808
SIX2,MASTL dependency strength vs dependency strength,1165,-0.013131048267616456,0.6543492384157371,0.8501584634897954,10809
HCFC1R1,MASTL dependency strength vs dependency strength,1165,-0.013139507769162725,0.6541410387611994,0.849988099006622,10810
FAM83D,MASTL dependency strength vs dependency strength,1165,-0.013141144508214977,0.6541007595246552,0.849988099006622,10811
MRPS18A,MASTL dependency strength vs dependency strength,1165,-0.013160430564914886,0.6536262162023975,0.8495758101802694,10812
ZNF12,MASTL dependency strength vs dependency strength,1165,-0.0131644068553334,0.6535283949186399,0.8495758101802694,10813
ADAMTS1,MASTL dependency strength vs dependency strength,1165,-0.013183161455675661,0.6530670905209993,0.8491698454631753,10814
SMAD1,MASTL dependency strength vs dependency strength,1165,-0.013189503866475041,0.6529111170462644,0.8490312061726328,10815
PCGF3,MASTL dependency strength vs dependency strength,1165,-0.013218365846296537,0.6522015305312312,0.8482367048124662,10816
ZNF467,MASTL dependency strength vs dependency strength,1165,-0.01321962834061289,0.6521704986341049,0.8482367048124662,10817
ASPM,MASTL dependency strength vs dependency strength,1165,-0.013227564510308832,0.6519754426971752,0.8481350106738905,10818
TMEM238,MASTL dependency strength vs dependency strength,1165,-0.013231040383332476,0.6518900198442672,0.8480880143225026,10819
SLCO2B1,MASTL dependency strength vs dependency strength,1165,-0.013231233459780826,0.6518852749424472,0.8480880143225026,10820
SLC12A6,MASTL dependency strength vs dependency strength,1165,-0.013234908019389936,0.6517949744078247,0.8480880143225026,10821
PSAT1,MASTL dependency strength vs dependency strength,1165,-0.01324048610803331,0.6516579053092486,0.8479784133530227,10822
PPARD,MASTL dependency strength vs dependency strength,1165,-0.013250586292071294,0.6514097457077844,0.8477981001274371,10823
IRAG1,MASTL dependency strength vs dependency strength,1165,-0.013268211341400951,0.6509767939714208,0.8476170873324952,10824
HNRNPK,MASTL dependency strength vs dependency strength,1165,-0.01327325151378007,0.6508530059195236,0.8476170873324952,10825
DNALI1,MASTL dependency strength vs dependency strength,1165,-0.013281481911755787,0.6506508857026084,0.8476170873324952,10826
C1orf105,MASTL dependency strength vs dependency strength,1165,-0.013289288305230837,0.6504592017961162,0.8475725295539182,10827
