model_id,cell_line_name,oncotree_lineage,oncotree_primary_disease,oncotree_subtype,median_l2fc,growth_fraction,c604_sensitivity
ACH-000052,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,-1.11460511837608,0.46181754264744357,-0.46181754264744357
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,-0.405579131656979,0.7549331840457125,-0.7549331840457125
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,-1.28839020222164,0.4094076024746367,-0.4094076024746367
ACH-000411,769-P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,-1.38796861984223,0.3821024412370421,-0.3821024412370421
ACH-000425,UACC-62,Skin,Melanoma,Melanoma,-2.19803952291726,0.21793358946850605,-0.21793358946850605
ACH-000428,UO-31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,-1.13749654404574,0.4545476536245394,-0.4545476536245394
ACH-000505,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,0.329354126930278,1.2564507543147143,-1.2564507543147143
ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-1.36790657648467,0.3874530546726543,-0.3874530546726543
ACH-000593,BC-3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-1.29554546485171,0.4073821110270206,-0.4073821110270206
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,-0.807502776601838,0.5713700115948203,-0.5713700115948203
ACH-000694,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,-0.485660450039734,0.7141700557696192,-0.7141700557696192
ACH-000748,SJSA-1,Bone,Osteosarcoma,Osteosarcoma,-0.519766965395508,0.6974844868479958,-0.6974844868479958
ACH-000753,JMSU-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-0.468384538390604,0.722773472325118,-0.722773472325118
ACH-000766,NCI-H1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.582275945637331,0.6679092753414172,-0.6679092753414172
ACH-000802,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-1.29598427200367,0.4072582213652274,-0.4072582213652274
ACH-000833,RH-30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,0.139933672684794,1.1018544574035147,-1.1018544574035147
ACH-000853,NCI-H661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,-0.0805363713116769,0.9457059827568146,-0.9457059827568146
ACH-000900,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-1.23138984367714,0.4259069438186225,-0.4259069438186225
ACH-000911,NUGC-3,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,-0.788082570879906,0.579113257312321,-0.579113257312321
ACH-000924,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,0.202023345562922,1.1503105074223883,-1.1503105074223883
ACH-001016,Becker,CNS/Brain,Diffuse Glioma,Astrocytoma,-0.741013640490727,0.5983188245632919,-0.5983188245632919
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-0.535197550435021,0.6900641786868315,-0.6900641786868315
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,-0.868570231493463,0.5476893638319713,-0.5476893638319713
ACH-000046,ACHN,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,-0.659614054680355,0.6330476252797395,-0.6330476252797395
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,-0.609060942837226,0.6556233114496707,-0.6556233114496707
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,0.117356673456531,1.0847455543022153,-1.0847455543022153
ACH-000273,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,-2.31226928677067,0.2013434874122382,-0.2013434874122382
ACH-000323,42-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,-0.680740560761082,0.6238449616460228,-0.6238449616460228
ACH-000383,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,-1.4728224063897,0.3602767840153067,-0.3602767840153067
ACH-000404,K029AX,Skin,Melanoma,Cutaneous Melanoma,-1.49934593170602,0.3537137158764009,-0.3537137158764009
ACH-000421,SW837,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,-0.103633569398522,0.9306860129410356,-0.9306860129410356
ACH-000589,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.26441999293088,1.201153052564032,-1.201153052564032
ACH-000643,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,0.0474763108361298,1.0334555303403197,-1.0334555303403197
ACH-000648,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",-0.605691516422742,0.6571563146876112,-0.6571563146876112
ACH-000650,IGR-37,Skin,Melanoma,Melanoma,-0.932568343306059,0.523924799249832,-0.523924799249832
ACH-000661,WM1799,Skin,Melanoma,Melanoma,-1.64630235663982,0.319457882551461,-0.319457882551461
ACH-000663,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,-0.0328628423277255,0.9774786913363217,-0.9774786913363217
ACH-000711,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,-1.03162830379339,0.4891577471791701,-0.4891577471791701
ACH-000736,SNU-601,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,-0.595406863141199,0.6618577743674037,-0.6618577743674037
ACH-000747,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,0.0293656898135557,1.0205633156533407,-1.0205633156533407
ACH-000765,WM983B,Skin,Melanoma,Melanoma,-0.851590983938997,0.5541732643996197,-0.5541732643996197
ACH-000878,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,-2.29866041410668,0.20325173687042136,-0.20325173687042136
ACH-000901,HCC-1359,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,0.180949848393428,1.133630004343128,-1.133630004343128
ACH-000941,HEC-1-B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,-0.291769085919856,0.8168997315294639,-0.8168997315294639
ACH-000947,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,-1.07580668575044,0.4744057214138581,-0.4744057214138581
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,-0.82765968642569,0.5634425075591759,-0.5634425075591759
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,-1.06381102018625,0.47836673659558465,-0.47836673659558465
ACH-000242,RT4,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-2.70643666077799,0.1532079790006299,-0.1532079790006299
ACH-000260,SK-N-AS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.0817449110226631,1.0582972563427526,-1.0582972563427526
ACH-000393,HLF,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.77536875849822,0.5842392713497502,-0.5842392713497502
ACH-000427,NCI-N87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,-2.02642251531978,0.24546300069214208,-0.24546300069214208
ACH-000434,NCI-H1915,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,-1.10028064856955,0.4664257527841684,-0.4664257527841684
ACH-000467,HCC-56,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,-3.19808395978154,0.1089634384684033,-0.1089634384684033
ACH-000476,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.899111517578797,0.5362168582651576,-0.5362168582651576
ACH-000484,VMRC-RCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,-0.735186118417859,0.600740519757647,-0.600740519757647
ACH-000503,BICR 16,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,-0.373194362731368,0.7720711111367036,-0.7720711111367036
ACH-000521,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.48663863553529,0.7136859936552444,-0.7136859936552444
ACH-000532,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,-0.0707539122145815,0.9521403060313732,-0.9521403060313732
ACH-000582,COLO 741,Skin,Melanoma,Melanoma,-2.01145579785411,0.2480227222338422,-0.2480227222338422
ACH-000685,L3.3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,-1.4379497545791,0.3690914557191434,-0.3690914557191434
ACH-000726,TE-14,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,-2.01525718864764,0.24737006161438355,-0.24737006161438355
ACH-000787,LXF-289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.854719048498362,0.5529730025477518,-0.5529730025477518
ACH-000872,HCC515,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.796704473303246,0.5756626543380534,-0.5756626543380534
ACH-000882,IGR-1,Skin,Melanoma,Melanoma,-1.43681691790837,0.36938138846706947,-0.36938138846706947
ACH-000895,CL-34,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,-2.22014043496087,0.2146204664862837,-0.2146204664862837
ACH-000898,SNU-719,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,-1.93696221308873,0.2611657810521494,-0.2611657810521494
ACH-000950,LoVo,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,-1.06938920019741,0.47652070287365933,-0.47652070287365933
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,-1.23771380319333,0.42404409436073914,-0.42404409436073914
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",-2.18192834746011,0.2203809845932004,-0.2203809845932004
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,-2.9179288857848,0.1323170714534715,-0.1323170714534715
ACH-000243,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,-0.255787720934936,0.8375297130966444,-0.8375297130966444
ACH-000268,SNU-245,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,-2.19739663523794,0.21803072575659874,-0.21803072575659874
ACH-000408,TE-5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,-1.31046381842247,0.40319123503515,-0.40319123503515
ACH-000420,SNU-449,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.518566668748995,0.6980650230155967,-0.6980650230155967
ACH-000433,Caki-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.199553766978113,1.1483431116095482,-1.1483431116095482
ACH-000461,SNU-1196,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,-0.562138054426763,0.6772976736477628,-0.6772976736477628
ACH-000493,SNU-423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.762524238719356,0.5894640609475335,-0.5894640609475335
ACH-000496,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-1.16894266461161,0.4447471714988075,-0.4447471714988075
ACH-000622,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,-0.656721956196479,0.6343179369844962,-0.6343179369844962
ACH-000665,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,0.0373328028692919,1.0262148466820884,-1.0262148466820884
ACH-000792,BFTC-909,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,-0.513453968909059,0.7005432518222873,-0.7005432518222873
ACH-000837,NCI-H322,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.523357110033694,0.6957509554951989,-0.6957509554951989
ACH-000848,JHH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.695615612275929,0.6174457921023228,-0.6174457921023228
ACH-000990,HEC-108,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,-1.04047591506307,0.486167070854121,-0.486167070854121
ACH-001075,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,-0.84380907669428,0.557170555340611,-0.557170555340611
ACH-001306,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,-1.74659350615171,0.298004597610269,-0.298004597610269
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,-1.61709404394326,0.3259914329485864,-0.3259914329485864
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,-0.268049914668241,0.8304412918103522,-0.8304412918103522
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,-1.56930896027548,0.33696976146625435,-0.33696976146625435
ACH-000302,SNU-1077,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,0.293769722115009,1.2258391803179802,-1.2258391803179802
ACH-000347,QGP-1,Pancreas,Pancreatic Neuroendocrine Tumor,Pancreatic Neuroendocrine Tumor,-0.430533530594737,0.7419873363543656,-0.7419873363543656
ACH-000395,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,-0.598377962289277,0.6604961410728757,-0.6604961410728757
ACH-000397,TEN,Uterus,Endometrial Carcinoma,Uterine Clear Cell Carcinoma,-1.25412220562622,0.4192485776428657,-0.4192485776428657
ACH-000527,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,-1.36079686157964,0.38936716644630004,-0.38936716644630004
ACH-000549,SNU-1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,-1.26928463234808,0.41486543504344603,-0.41486543504344603
ACH-000563,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,-2.32090070419108,0.2001424773182686,-0.2001424773182686
ACH-000572,G-361,Skin,Melanoma,Melanoma,-2.2778374779112,0.20620661537561696,-0.20620661537561696
ACH-000625,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-0.469338829920342,0.722295541428308,-0.722295541428308
ACH-000647,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,-2.02508847390358,0.2456900821226981,-0.2456900821226981
ACH-000684,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.0076768516261189,1.0053353707264598,-1.0053353707264598
ACH-000720,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-0.840015976456735,0.5586373826314025,-0.5586373826314025
ACH-000738,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,-0.0584969964882514,0.9602640039743097,-0.9602640039743097
ACH-000741,U-BLC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-1.0851152440391,0.4713546141392184,-0.4713546141392184
ACH-000808,HuH28,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,-1.89366420947257,0.26912266281411446,-0.26912266281411446
ACH-000811,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,-2.19917177276574,0.2177626188452821,-0.2177626188452821
ACH-000841,NCI-H2087,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-1.70364792056471,0.3070088351538612,-0.3070088351538612
ACH-000852,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-2.01107957096404,0.24808741018448463,-0.24808741018448463
ACH-000903,FTC-133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,-0.87940820898177,0.5435903653669075,-0.5435903653669075
ACH-000916,NCI-H1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-2.16076748509219,0.22363726550031268,-0.22363726550031268
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,-2.28818338600697,0.20473314846508947,-0.20473314846508947
ACH-000091,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,-1.67693727234095,0.31274586776666485,-0.31274586776666485
ACH-000186,NCI-H2444,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,-0.789493817352929,0.5785470448274315,-0.5785470448274315
ACH-000205,PK-59,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,-0.730415159795101,0.6027304430511597,-0.6027304430511597
ACH-000221,SNU-398,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,-1.26975344612692,0.4147306435393285,-0.4147306435393285
ACH-000264,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-0.247060922562224,0.8426112467094613,-0.8426112467094613
ACH-000278,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,-0.339870285359814,0.7901123487275705,-0.7901123487275705
ACH-000281,KP-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,-1.22968849869506,0.4264095046868785,-0.4264095046868785
ACH-000401,COLO-800,Skin,Melanoma,Cutaneous Melanoma,-1.0045415463989,0.49842849477472456,-0.49842849477472456
ACH-000579,UACC-257,Skin,Melanoma,Melanoma,-0.0929338188388469,0.9376141069099764,-0.9376141069099764
ACH-000592,TM-31,CNS/Brain,Diffuse Glioma,Astrocytoma,-0.871982098059258,0.5463956495570439,-0.5463956495570439
ACH-000603,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,-1.62185379326129,0.3249176920104168,-0.3249176920104168
ACH-000628,NCI-H596,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,-1.04114455525489,0.4859418011219285,-0.4859418011219285
ACH-000630,YD-8,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,-0.0866835232738101,0.9416850145720406,-0.9416850145720406
ACH-000682,SNU-1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,-2.24648656364999,0.2107366924723961,-0.2107366924723961
ACH-000803,COLO 668,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,-1.90213974242998,0.2675462582667647,-0.2675462582667647
ACH-000822,SK-MEL-24,Skin,Melanoma,Melanoma,-0.954269475458576,0.5161028578698201,-0.5161028578698201
ACH-000834,UM-UC-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-1.11538986139294,0.461566408807865,-0.461566408807865
ACH-000858,KNS-62,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,-2.0956118572144,0.23396881297855296,-0.23396881297855296
ACH-000905,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,-2.27863897152679,0.2060920884794293,-0.2060920884794293
ACH-000919,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,-1.52369453504377,0.34779412433791473,-0.34779412433791473
ACH-000987,MeWo,Skin,Melanoma,Cutaneous Melanoma,-1.74457869764087,0.29842106931094964,-0.29842106931094964
ACH-000988,MFE-319,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,-0.645847161184939,0.6391173859792145,-0.6391173859792145
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,-0.165416418177232,0.8916711111387643,-0.8916711111387643
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,-1.00094408561139,0.49967291189344,-0.49967291189344
ACH-000027,GOS-3,CNS/Brain,Diffuse Glioma,Glioblastoma,-2.53997777071714,0.17194537660974632,-0.17194537660974632
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,-2.06069526604661,0.23970048512653183,-0.23970048512653183
