library,n_terms,c604_sig_terms,mastl_sig_terms,shared_sig_terms,shared_sig_p_value,spearman_rho,spearman_p_value
MSigDB_Hallmark_2020,50,2,2,0,1.0,0.352797118847539,0.011973178866233747
Reactome_2022,1398,84,136,61,5.015612144164963e-49,0.46101463833298717,1.7146465557593008e-74
